Variable ,Descripción
Total de unidades de porducción (UP) agropecuaria activas,Total UP agropecuaria activas
UP agrícolas,UP Agricolas
UP con superficie agrícola de riego,UP Argri Riego ( R )
UP a las que se les preguntá el tema de sistemas de riego,P UP Riego
Unidades de producción con riego de gravedad,UP Riego Gravedad (RG)
UP con riego de gravedad mediante canales revestidos,UP RG Canales revestidos
UP con riego de gravedad mediante canales de tierra,UP RG Canales de Tierra
UP con riego de gravedad mediante tubería de compuerta,UP RG Tubería De Compuerta
UP con riego por microaspersión,UP R Por Microaspersión
UP con riego por aspersión,UP R Por Aspersión
UP con riego por aspersión de pivote central,UP R Por Aspersión Pivote Central
UP con riego por aspersión de avance frontal,UP R Por Aspersión Avance Frontal
UP con riego por aspersión de cañón,UP R Por Aspersión Cañón
UP con riego por aspersores,UP R Por Aspersores
UP con riego de sistema de goteo,UP R Sistema De Goteo
UP con riego mediante algún otro sistema,UP R Mediante Algún Otro Sistema
